127.0.0.1 - - [15/Dec/2020:18:01:10 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:11 +0900] "GET /login.jsp HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /css/paginate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /css/notosanskr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /js/jquery.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /js/moment-with-locales.js HTTP/1.1" 200 556128
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /webfonts/NotoSansKR-DemiLight-Hestia.woff HTTP/1.1" 200 241780
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75408
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /webfonts/NotoSansKR-Black-Hestia.woff HTTP/1.1" 200 234316
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /webfonts/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 200 242532
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /video/loop.mp4 HTTP/1.1" 206 4247097
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:01:12 +0900] "GET /favicon.png HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:04:04 +0900] "POST /login.bmj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:04:04 +0900] "GET /login.jsp HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:33:33 +0900] "POST /login.bmj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:33:33 +0900] "GET /index.jsp HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:33:33 +0900] "GET /css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:33:33 +0900] "GET /webfonts/NotoSansKR-Bold-Hestia.woff HTTP/1.1" 200 244996
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:33:33 +0900] "GET /webfonts/NotoSansKR-Light-Hestia.woff HTTP/1.1" 200 237368
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:33:33 +0900] "GET /webfonts/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 200 242224
0:0:0:0:0:0:0:1 - - [15/Dec/2020:18:33:33 +0900] "GET /webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
